Rochas,"Burger,Pizza,Chinese",,
Quality Biryani,Bangla,,
Jive Jol,"Fast Food,Thai,Chinese",,
SHAAD,"CHINESE, THAI, BENGALI",,
BAR-B-Q,Chinese and Multi-Cuisine,,
Tasty Bites,"Thai, Chainese, Indian","Shahit Abdul jobbar sarak (kalibari more), Bogura",
MIDAS Restaurant,"Chinese, Thai & Sichuan",,
M FOODS,Thai & Chinese,,
Hungry Hook,"Fast food, Chinese, Italian, Kebab, Indian",,
Look @ Me,"Fast food, Chinese",,
Food Fantasy,"Fast Food,Thai,Chinese",,
Red Chilies,"Fast Food,Thai & Chinese",,
Food Land,"Thai,Chinese,Fast Food",,
Vapianoo,"Fast Food,Thai,Chinese",,
Shawrma House,"Fast Food,Pizza",,
Ginger,"Fast Food, Indian, Thai, Chinese",,
D'oasis,"Fast Food, Chinese,",,
Adda Chinese Restaurants,"Fast Food, Thai & Chinese, Kabab",,
Tasty N Spice,"Fast Food, Chinese, Indian","Runner plaza , Bogura",
Black Pepper,"Fast Food, Chinese","Runner plaza , Bogura",
Chill Cafe,"Thai & Chinese,Fast Food","Runner plaza , Bogura",
Shokh-Signature Cafe,"Thai & Chinese,Kabab","Shahid Abdul jabbar Sarak, Joleshoritola, Bogura",
Food Zone,"Burger,Chinese, Indian","Runner plaza , Bogura",
The Terrace,"Chinese, Indian","480/1, Carmichael Road, Bagura",
Salt & Pepper,"Fast Food,Kabab","Jaleswaritola, Bogura",
Cafe Classic,Chinese & Fast Food,"Runner plaza , Bogura",
Akboria Grand Hotel,Bangla,,
Akboria Misty Mela,Fast Food,,
Akboria Heart Land Cafe,Chinese & Indian Food,,
Akboria Hotel,Bangla,"Kobi Nazrul Islam Sorok,Bogura",01917767675
