Rangdhonu,Fast Food & Ice Cream Parlor,"Opposite to Cantt Public School, R.K. Rd, Rangpur 5400",01714606056,"25.8409514,89.0595819",R.K. Road,12:00,21:00,4,,Fast Food,,,,,,,,,,,,,,
Kutum Bari,Bangla,"Payra Chattar,rangpur",01316021144,"25.7504104,89.2523933",Payra Chattar,11:00,21:00,3.5,,Bangla,,,,,,,,,,,,,,
Cafe Ajwa,Fast Food,"Lawyer Bhaban, Opposite DC Office, City Bazar Rd, Rangpur 5400",01728314488,"25.7553307,89.2416362",Kachari Bazar,12:00,21:00,4,,Thai,,,,,,,,,,,,,,
Coffee House (Bank Mor),Thai Chinese Restaurant,"Bangladesh Bank Mor,N517, Rangpur 5400",01714859865,"25.7602477,89.2383573",Dhap Bank Mor,11:00,21:00,3.5,,Chinese,,,,,,,,,,,,,,
Cicily,Thai Chinese Restaurant,"City Bazar Rd, Rangpur",01970676737,"25.7525411,89.251146",Payra Chattar,12:00,21:00,4,,Chinese,,,,,,,,,,,,,,
Cafe 66,Fast Food,"Near Cantomant College, RK Road, Cantonment Road, Rangpur 5400",01769660380,"25.7615397,89.2307293",Cheakpost,11:00,21:00,3,,Thai,,,,,,,,,,,,,,
Rayan's Restaurant,Thai Chinese Restaurant,"Aat tola mor,Rangpur",01720437707,"25.7494979,89.2447314",Cheakpost,11:30,21:00,4.5,,Chinese,,,,,,,,,,,,,,
Dhaka Shahi Biriyani House (Payra Chattar),Biriyani,"Paira Chattar, Rangpur",01772657500,"25.7506622,89.2522772",Payra Chattar,11:00,21:00,3.8,,Biriyani,,,,,,,,,,,,,,
Mokbul Hotel,Bangla,"Paira Chattar, Nearest Anwara Medicine Market, Station Road, Rangpur 5400",01718119037,"25.7506308,89.2520559",Payra Chattar,11:00,21:00,4,,Bangla,,,,,,,,,,,,,,
Rasel Hotel,Bangla,"Nearest Aziz Super Market, Station Road, Payra Chattar, Rangpur 5400",01717531664,"25.8408171,89.0595813",Payra Chattar,11:00,21:00,3.8,,Bangla,,,,,,,,,,,,,,
Dhaka Biriyani House (Opposite Townhall),Biriyani,"Near Rangpur Zila Parishod, Muktar Sarani, Civil Station Road, Town Hall, Rangpur 5400",01725023044,"25.7533008,89.248741",Town Hall,11:00,21:00,4.5,,Biriyani,,,,,,,,,,,,,,
Dhaka Nanna Biriyani House (DC Mor),Biriyani,"D. C. Mor, Keeranipara, Road, Rangpur 5400",01710993426,"25.7561473,89.2416876",Dc Mor,11:00,21:00,4,,Biriyani,,,,,,,,,,,,,,
Payra Hotel,Bangla,"Payra Chattar,Rangpur",01821723457,"24.9023483,91.858961",Payra Chattar,11:00,21:00,3.5,,Bangla,,,,,,,,,,,,,,
Mithu Hotel,Bangla,"Mithu Hotel Goli, Nearest Sun moon Hotel,  Rangpur 5400",01937342604,"25.7490958,89.2531717",Payra Chattar,11:00,21:00,3.6,,Bangla,,,,,,,,,,,,,,
Bangla,,"Near Upozila Ansar & VDP Office, Station Road, Rangpur 5400",01918083713,"25.7520081,89.2448741",Payra Chattar,,21:00,,,,,,,,,,,,,,,,,
